time(us), stanley, env, control
609835814, 2.250000, 23.375000, 3.562500
612705814, 2.187500, 23.375000, 3.562500
615575814, 2.187500, 23.375000, 3.562500
618445814, 2.187500, 23.375000, 3.500000
621315814, 2.187500, 23.375000, 3.500000
624185814, 2.125000, 23.375000, 3.500000
627055814, 2.125000, 23.375000, 3.500000
629925814, 2.062500, 23.375000, 3.500000
632795814, 2.062500, 23.375000, 3.500000
635665814, 2.062500, 23.437500, 3.500000
638535814, 2.062500, 23.437500, 3.500000
641405814, 2.000000, 23.375000, 3.500000
644275814, 2.000000, 23.375000, 3.500000
647145814, 2.000000, 23.375000, 3.500000
650015814, 2.000000, 23.375000, 3.500000
652885814, 1.937500, 23.312500, 3.500000
655755814, 1.937500, 23.312500, 3.500000
658625814, 1.937500, 23.312500, 3.500000
661495814, 1.937500, 23.312500, 3.500000
664365814, 1.875000, 23.312500, 3.500000
667235814, 1.937500, 23.312500, 3.500000
670105814, 1.875000, 23.312500, 3.500000
672975814, 1.875000, 23.250000, 3.500000
675845814, 1.875000, 23.250000, 3.500000
678715814, 1.875000, 23.250000, 3.500000
681585814, 1.812500, 23.250000, 3.500000
684455814, 1.812500, 23.250000, 3.500000
687325814, 1.812500, 23.250000, 3.500000
690195814, 1.812500, 23.250000, 3.437500
693065814, 1.812500, 23.250000, 3.437500
695935814, 1.750000, 23.250000, 3.437500
698805814, 1.750000, 23.250000, 3.437500
701675814, 1.750000, 23.250000, 3.437500
704545814, 1.750000, 23.250000, 3.437500
707415814, 1.750000, 23.250000, 3.437500
710285814, 1.687500, 23.250000, 3.437500
713155814, 1.687500, 23.187500, 3.437500
716025814, 1.687500, 23.187500, 3.437500
718895814, 1.500000, 23.187500, 3.437500
721765814, 1.375000, 23.187500, 3.437500
724635814, 1.250000, 23.187500, 3.437500
727505814, 1.187500, 23.187500, 3.437500
730375814, 1.125000, 23.187500, 3.437500
733245814, 1.062500, 23.187500, 3.437500
736115814, 1.062500, 23.187500, 3.437500
738985814, 1.000000, 23.187500, 3.437500
741855814, 1.062500, 23.187500, 3.437500
744725814, 1.000000, 23.187500, 3.437500
747595814, 1.000000, 23.187500, 3.437500
750465814, 1.000000, 23.187500, 3.437500
753335814, 1.000000, 23.187500, 3.437500
756205814, 0.937500, 23.187500, 3.437500
759085814, 1.000000, 23.187500, 3.437500
761955814, 1.000000, 23.187500, 3.437500
764825814, 1.000000, 23.187500, 3.437500
767695814, 1.000000, 23.187500, 3.437500
770565814, 1.000000, 23.187500, 3.437500
773435814, 0.937500, 23.187500, 3.437500
776305814, 0.937500, 23.187500, 3.437500
779175814, 0.937500, 23.125000, 3.437500
782045814, 0.937500, 23.125000, 3.437500
784915814, 0.937500, 23.125000, 3.437500
787785814, 0.937500, 23.125000, 3.437500
790655814, 0.937500, 23.125000, 3.437500
793525814, 0.937500, 23.125000, 3.437500
796395814, 0.937500, 23.125000, 3.375000
799265814, 0.937500, 23.125000, 3.437500
802135814, 0.937500, 23.062500, 3.437500
805005814, 0.937500, 23.062500, 3.437500
807875814, 0.937500, 23.062500, 3.437500
810745814, 0.937500, 23.062500, 3.437500
813615814, 0.937500, 23.062500, 3.437500
816485814, 0.937500, 23.062500, 3.437500
819355814, 0.937500, 23.062500, 3.437500
822225814, 0.937500, 23.062500, 3.437500
825095814, 0.875000, 23.062500, 3.437500
827965814, 0.937500, 23.125000, 3.437500
830835814, 0.937500, 23.125000, 3.437500
833705814, 0.937500, 23.125000, 3.375000
836575814, 0.875000, 23.125000, 3.437500
839445814, 0.875000, 23.125000, 3.437500
842315814, 0.875000, 23.125000, 3.437500
845185814, 0.875000, 23.125000, 3.375000
848055814, 0.937500, 23.125000, 3.437500
850925814, 0.875000, 23.125000, 3.437500
853795814, 0.875000, 23.125000, 3.437500
856665814, 0.937500, 23.125000, 3.437500
859535814, 0.875000, 23.125000, 3.437500
862405814, 0.875000, 23.125000, 3.437500
865275814, 0.875000, 23.062500, 3.437500
868145814, 0.875000, 23.062500, 3.437500
871015814, 0.875000, 23.062500, 3.437500
873885814, 0.875000, 23.062500, 3.437500
876755814, 0.875000, 23.000000, 3.437500
879625814, 0.875000, 23.000000, 3.437500
882495814, 0.875000, 23.000000, 3.437500
885365814, 0.875000, 23.000000, 3.437500
888235814, 0.875000, 23.000000, 3.437500
891105814, 0.875000, 23.000000, 3.437500
893975814, 0.875000, 23.000000, 3.437500
896845814, 0.875000, 23.000000, 3.437500
899715814, 0.875000, 23.000000, 3.437500
902585814, 0.875000, 23.000000, 3.437500
905455814, 0.875000, 23.000000, 3.437500
908325814, 0.875000, 23.000000, 3.437500
911195814, 0.875000, 23.000000, 3.437500
914065814, 0.875000, 23.000000, 3.437500
916935814, 0.875000, 23.000000, 3.437500
919805814, 0.875000, 23.000000, 3.437500
922675814, 0.875000, 23.000000, 3.437500
925545814, 0.875000, 23.000000, 3.500000
928415814, 0.875000, 23.000000, 3.500000
931285814, 0.812500, 23.000000, 3.437500
934155814, 0.875000, 22.937500, 3.500000
937025814, 0.812500, 23.000000, 3.500000
939895814, 0.875000, 23.000000, 3.500000
942765814, 0.875000, 22.937500, 3.500000
945635814, 0.875000, 22.937500, 3.500000
948505814, 0.875000, 22.937500, 3.500000
951375814, 0.875000, 22.937500, 3.500000
954245814, 0.875000, 22.937500, 3.500000
957115814, 0.875000, 22.937500, 3.500000
959985814, 0.875000, 22.937500, 3.500000
962855814, 0.875000, 22.937500, 3.500000
965725814, 0.875000, 22.937500, 3.500000
968595814, 0.875000, 22.937500, 3.500000
971465814, 0.875000, 22.937500, 3.500000
974335814, 0.875000, 22.937500, 3.500000
977205814, 0.875000, 22.937500, 3.500000
980075814, 0.812500, 22.937500, 3.500000
982945814, 0.875000, 22.937500, 3.562500
985815814, 0.875000, 22.875000, 3.562500
988685814, 0.812500, 22.875000, 3.500000
991555814, 0.875000, 22.875000, 3.562500
994425814, 0.875000, 22.875000, 3.500000
997295814, 0.875000, 22.875000, 3.562500
1000165814, 0.875000, 22.875000, 3.562500
1003035814, 0.812500, 22.875000, 3.562500
1005915814, 0.875000, 22.812500, 3.562500
1008785814, 0.875000, 22.812500, 3.562500
1011655814, 0.875000, 22.812500, 3.562500
1014525814, 0.875000, 22.812500, 3.562500
1017395814, 0.875000, 22.812500, 3.562500
1020265814, 0.875000, 22.812500, 3.562500
1023135814, 0.875000, 22.812500, 3.562500
1026005814, 0.875000, 22.812500, 3.562500
1028875814, 0.812500, 22.812500, 3.562500
1031745814, 0.875000, 22.812500, 3.562500
1034615814, 0.875000, 22.812500, 3.562500
1037485814, 0.812500, 22.812500, 3.562500
1040355814, 0.812500, 22.812500, 3.562500
1043225814, 0.875000, 22.812500, 3.562500
1046095814, 0.875000, 22.812500, 3.562500
1048965814, 0.875000, 22.812500, 3.562500
1051835814, 0.875000, 22.812500, 3.562500
1054705814, 0.875000, 22.812500, 3.625000
1057575814, 0.875000, 22.750000, 3.562500
1060455814, 0.875000, 22.750000, 3.625000
1063325814, 0.875000, 22.750000, 3.625000
1066195814, 0.875000, 22.750000, 3.625000
1069065814, 0.812500, 22.750000, 3.625000
1071945814, 0.875000, 22.750000, 3.625000
1074815814, 0.875000, 22.750000, 3.625000
1077685814, 0.812500, 22.750000, 3.625000
1080565814, 0.812500, 22.812500, 3.625000
1083435814, 0.875000, 22.750000, 3.625000
1086305814, 0.875000, 22.750000, 3.625000
1089175814, 0.875000, 22.750000, 3.625000
1092045814, 0.875000, 22.750000, 3.687500
1094925814, 0.875000, 22.750000, 3.625000
1097795814, 0.875000, 22.750000, 3.625000
1100665814, 0.875000, 22.750000, 3.625000
1103535814, 0.875000, 22.750000, 3.687500
1106415814, 0.812500, 22.750000, 3.687500
1109295814, 0.875000, 22.687500, 3.687500
1112165814, 0.812500, 22.687500, 3.687500
1115045814, 0.875000, 22.687500, 3.687500
1117915814, 0.812500, 22.687500, 3.687500
1120795814, 0.875000, 22.687500, 3.687500
1123665814, 0.875000, 22.687500, 3.687500
1126535814, 0.875000, 22.687500, 3.687500
1129405814, 0.812500, 22.687500, 3.687500
1132285814, 0.875000, 22.687500, 3.687500
1135155814, 0.875000, 22.687500, 3.687500
1138025814, 0.812500, 22.687500, 3.687500
1140905814, 0.812500, 22.687500, 3.687500
1143785814, 0.812500, 22.687500, 3.687500
1146665814, 0.875000, 22.687500, 3.687500
1149535814, 0.875000, 22.625000, 3.750000
1152405814, 0.875000, 22.625000, 3.750000
1155275814, 0.812500, 22.625000, 3.687500
1158155814, 0.875000, 22.625000, 3.750000
1161025814, 0.812500, 22.625000, 3.750000
1163895814, 0.812500, 22.625000, 3.750000
1166765814, 0.875000, 22.625000, 3.750000
1169635814, 0.812500, 22.625000, 3.750000
1172505814, 0.812500, 22.625000, 3.750000
1175375814, 0.875000, 22.625000, 3.750000
1178245814, 0.875000, 22.687500, 3.750000
1181115814, 0.812500, 22.687500, 3.750000
1183985814, 0.875000, 22.687500, 3.750000
1186855814, 0.812500, 22.687500, 3.750000
1189725814, 0.812500, 22.687500, 3.750000
1192595814, 0.875000, 22.687500, 3.750000
1195465814, 0.875000, 22.687500, 3.812500
1198335814, 0.812500, 22.687500, 3.750000
1201205814, 0.812500, 22.687500, 3.812500
1204085814, 0.812500, 22.625000, 3.812500
1206965814, 0.812500, 22.625000, 3.812500
1209845814, 0.875000, 22.625000, 3.812500
1212715814, 0.812500, 22.625000, 3.812500
1215595814, 0.812500, 22.625000, 3.812500
1218475814, 0.812500, 22.625000, 3.812500
1221355814, 0.875000, 22.625000, 3.812500
1224225814, 0.875000, 22.625000, 3.812500
1227095814, 0.812500, 22.625000, 3.812500
1229975814, 0.812500, 22.625000, 3.812500
1232855814, 0.812500, 22.625000, 3.812500
1235735814, 0.875000, 22.625000, 3.812500
1238605814, 0.875000, 22.625000, 3.875000
1241475814, 0.875000, 22.562500, 3.875000
1244345814, 0.812500, 22.562500, 3.875000
1247215814, 0.875000, 22.562500, 3.875000
1250085814, 0.812500, 22.562500, 3.875000
1252955814, 0.875000, 22.562500, 3.875000
1255825814, 0.812500, 22.562500, 3.875000
1258695814, 0.875000, 22.562500, 3.875000
1261565814, 0.812500, 22.562500, 3.875000
1264435814, 0.812500, 22.562500, 3.875000
1267305814, 0.812500, 22.562500, 3.875000
1270175814, 0.812500, 22.562500, 3.875000
1273045814, 0.812500, 22.562500, 3.875000
1275915814, 0.812500, 22.562500, 3.875000
1278785814, 0.875000, 22.562500, 3.937500
1281655814, 0.875000, 22.562500, 3.937500
1284525814, 0.875000, 22.562500, 3.937500
1287395814, 0.875000, 22.500000, 3.937500
1290265814, 0.875000, 22.500000, 3.937500
1293135814, 0.812500, 22.500000, 3.937500
1296005814, 0.812500, 22.500000, 3.937500
1298875814, 0.875000, 22.500000, 3.937500
1301745814, 0.812500, 22.500000, 3.937500
1304615814, 0.812500, 22.500000, 3.937500
1307485814, 0.812500, 22.500000, 3.937500
1310355814, 0.875000, 22.500000, 3.937500
1313225814, 0.875000, 22.500000, 3.937500
1316095814, 0.812500, 22.500000, 4.000000
1318965814, 0.812500, 22.500000, 4.000000
1321835814, 0.812500, 22.500000, 4.000000
1324705814, 0.875000, 22.500000, 4.000000
1327575814, 0.812500, 22.500000, 4.000000
1330445814, 0.875000, 22.500000, 4.000000
1333315814, 0.812500, 22.500000, 4.000000
1336185814, 0.812500, 22.437500, 4.000000
1339055814, 0.812500, 22.500000, 4.000000
1341925814, 0.812500, 22.437500, 4.000000
1344795814, 0.812500, 22.437500, 4.062500
1347675814, 0.812500, 22.437500, 4.062500
1350555814, 0.812500, 22.500000, 4.062500
1353425814, 0.812500, 22.500000, 4.062500
1356295814, 0.812500, 22.437500, 4.062500
1359175814, 0.812500, 22.437500, 4.062500
1362055814, 0.875000, 22.437500, 4.062500
1364925814, 0.812500, 22.437500, 4.125000
1367795814, 0.812500, 22.437500, 4.125000
1370665814, 0.812500, 22.437500, 4.125000
1373535814, 0.812500, 22.437500, 4.125000
1376405814, 0.875000, 22.375000, 4.125000
1379275814, 0.812500, 22.375000, 4.125000
1382155814, 0.812500, 22.375000, 4.125000
1385025814, 0.812500, 22.375000, 4.187500
1387905814, 0.812500, 22.375000, 4.187500
1390785814, 0.875000, 22.437500, 4.187500
1393655814, 0.812500, 22.375000, 4.187500
1396535814, 0.812500, 22.375000, 4.187500
1399415814, 0.812500, 22.375000, 4.250000
1402285814, 0.812500, 22.375000, 4.250000
1405155814, 0.812500, 22.375000, 4.250000
1408025814, 0.812500, 22.375000, 4.250000
1410895814, 0.812500, 22.375000, 4.250000
1413765814, 0.812500, 22.375000, 4.250000
1416635814, 0.812500, 22.375000, 4.312500
1419515814, 0.812500, 22.375000, 4.312500
1422395814, 0.812500, 22.375000, 4.312500
1425275814, 0.812500, 22.375000, 4.312500
1428155814, 0.812500, 22.437500, 4.312500
1431035814, 0.812500, 22.437500, 4.375000
1433905814, 0.812500, 22.437500, 4.375000
1436775814, 0.812500, 22.437500, 4.375000
1439645814, 0.812500, 22.437500, 4.375000
1442515814, 0.812500, 22.437500, 4.375000
1445385814, 0.812500, 22.437500, 4.437500
1448265814, 0.875000, 22.437500, 4.437500
1451135814, 0.812500, 22.437500, 4.437500
1454015814, 0.812500, 22.437500, 4.437500
1456895814, 0.812500, 22.437500, 4.437500
1459775814, 0.812500, 22.437500, 4.500000
1462645814, 0.812500, 22.437500, 4.500000
1465515814, 0.812500, 22.437500, 4.500000
1468385814, 0.812500, 22.437500, 4.500000
1471255814, 0.812500, 22.375000, 4.562500
1474135814, 0.812500, 22.375000, 4.562500
1477015814, 0.812500, 22.375000, 4.562500
1479895814, 0.875000, 22.375000, 4.562500
1482775814, 0.812500, 22.375000, 4.562500
1485655814, 0.812500, 22.375000, 4.562500
1488535814, 0.812500, 22.375000, 4.625000
1491415814, 0.812500, 22.375000, 4.625000
1494295814, 0.875000, 22.375000, 4.625000
1497165814, 0.812500, 22.375000, 4.625000
1500045814, 0.875000, 22.375000, 4.687500
1502925814, 0.812500, 22.375000, 4.687500
1505805814, 0.875000, 22.375000, 4.687500
1508685814, 0.812500, 22.375000, 4.687500
1511565814, 0.812500, 22.375000, 4.687500
1514445814, 0.812500, 22.375000, 4.750000
1517315814, 0.812500, 22.375000, 4.750000
1520185814, 0.812500, 22.375000, 4.750000
1523055814, 0.812500, 22.375000, 4.750000
1525925814, 0.812500, 22.375000, 4.750000
1528795814, 0.812500, 22.375000, 4.750000
1531665814, 0.812500, 22.375000, 4.750000
1534535814, 0.875000, 22.375000, 4.812500
1537405814, 0.875000, 22.375000, 4.812500
1540275814, 0.812500, 22.375000, 4.812500
1543155814, 0.875000, 22.375000, 4.812500
1546025814, 0.812500, 22.437500, 4.812500
1548905814, 0.812500, 22.437500, 4.812500
1551785814, 0.812500, 22.437500, 4.812500
1554665814, 0.812500, 22.375000, 4.875000
1557545814, 0.812500, 22.375000, 4.875000
1560425814, 0.812500, 22.375000, 4.875000
1563305814, 0.812500, 22.375000, 4.875000
1566185814, 0.812500, 22.375000, 4.875000
1569065814, 0.812500, 22.312500, 4.875000
1571945814, 0.812500, 22.312500, 4.875000
1574825814, 0.812500, 22.312500, 4.937500
1577705814, 0.812500, 22.312500, 4.937500
1580585814, 0.812500, 22.312500, 4.937500
1583465814, 0.812500, 22.312500, 4.937500
1586345814, 0.812500, 22.312500, 4.937500
1589225814, 0.812500, 22.312500, 4.937500
1592105814, 0.812500, 22.312500, 4.937500
1594985814, 0.812500, 22.312500, 4.937500
1597865814, 0.812500, 22.312500, 4.937500
1600745814, 0.812500, 22.312500, 5.000000
1603615814, 0.812500, 22.312500, 5.000000
1606485814, 0.812500, 22.250000, 5.000000
1609355814, 0.812500, 22.250000, 5.000000
1612225814, 0.812500, 22.312500, 5.000000
1615095814, 0.812500, 22.250000, 5.000000
1617965814, 0.875000, 22.250000, 5.000000
1620835814, 0.812500, 22.250000, 5.000000
1623705814, 0.812500, 22.250000, 5.000000
