time	stanley	env	control	diff_stanley	diff_control
6:12:04	1,5625	23,125	22,3125	21,5625	0,8125
6:13:02	1,5625	23,125	22,3125	21,5625	0,8125
6:14:00	1,5625	23,125	22,3125	21,5625	0,8125
6:14:57	1,5625	23,125	22,3125	21,5625	0,8125
6:15:55	1,5625	23,125	22,3125	21,5625	0,8125
6:16:52	1,56563	23,1469	22,3156	21,5813	0,83125
6:17:50	1,5625	23,1687	22,3156	21,6062	0,853125
6:18:48	1,56563	23,1875	22,3656	21,6219	0,821875
6:19:45	1,575	23,1875	22,375	21,6125	0,8125
6:20:43	1,57187	23,1875	22,375	21,6156	0,8125
6:21:40	1,57187	23,1906	22,375	21,6188	0,815625
6:22:38	1,5875	23,1969	22,375	21,6094	0,821875
6:23:36	1,59688	23,2469	22,375	21,65	0,871875
6:24:33	1,60625	23,25	22,3781	21,6438	0,871875
6:25:31	1,6	23,25	22,3906	21,65	0,859375
6:26:28	1,62187	23,25	22,4281	21,6281	0,821875
6:27:26	1,61875	23,25	22,4375	21,6313	0,8125
6:28:24	1,625	23,25	22,4375	21,625	0,8125
6:29:21	1,625	23,25	22,4375	21,625	0,8125
6:30:19	1,625	23,25	22,4375	21,625	0,8125
6:31:16	1,62813	23,25	22,4406	21,6219	0,809375
6:32:14	1,625	23,3	22,4594	21,675	0,840625
6:33:12	1,63125	23,3125	22,4906	21,6812	0,821875
6:34:09	1,6375	23,3125	22,5	21,675	0,8125
6:35:07	1,625	23,3188	22,5	21,6938	0,81875
6:36:04	1,63437	23,3125	22,5	21,6781	0,8125
6:37:02	1,64375	23,3156	22,5	21,6719	0,815625
6:38:00	1,64688	23,3656	22,5094	21,7188	0,85625
6:38:57	1,65625	23,375	22,5344	21,7188	0,840625
6:39:55	1,65625	23,3781	22,5625	21,7219	0,815625
6:40:52	1,66875	23,3781	22,5625	21,7094	0,815625
6:41:50	1,68125	23,3813	22,5625	21,7	0,81875
6:42:48	1,6875	23,4	22,5625	21,7125	0,8375
6:43:45	1,68437	23,4344	22,5625	21,75	0,871875
6:44:43	1,6875	23,4375	22,5813	21,75	0,85625
6:45:40	1,6875	23,4375	22,6156	21,75	0,821875
6:46:38	1,6875	23,4375	22,625	21,75	0,8125
6:47:36	1,6875	23,4406	22,625	21,7531	0,815625
6:48:33	1,6875	23,4688	22,625	21,7812	0,84375
6:49:31	1,69063	23,475	22,625	21,7844	0,85
6:50:28	1,69063	23,4969	22,6281	21,8062	0,86875
6:51:26	1,69063	23,5	22,6719	21,8094	0,828125
6:52:24	1,7	23,5	22,6844	21,8	0,815625
6:53:21	1,70625	23,5	22,6875	21,7937	0,8125
6:54:19	1,70625	23,5	22,6875	21,7937	0,8125
6:55:16	1,72812	23,5	22,6875	21,7719	0,8125
6:56:14	1,72188	23,5125	22,6875	21,7906	0,825
6:57:12	1,7375	23,5375	22,7031	21,8	0,834375
6:58:09	1,74687	23,5625	22,7312	21,8156	0,83125
6:59:07	1,74687	23,5625	22,75	21,8156	0,8125
7:00:04	1,74687	23,5625	22,75	21,8156	0,8125
7:01:02	1,75	23,5625	22,75	21,8125	0,8125
7:02:00	1,75	23,5625	22,75	21,8125	0,8125
7:02:57	1,75	23,5688	22,75	21,8188	0,81875
7:03:55	1,75	23,6125	22,7844	21,8625	0,828125
7:04:52	1,75625	23,625	22,8094	21,8687	0,815625
7:05:50	1,75313	23,625	22,8125	21,8719	0,8125
7:06:48	1,76562	23,625	22,8125	21,8594	0,8125
7:07:45	1,775	23,625	22,8125	21,85	0,8125
7:08:43	1,77188	23,625	22,8125	21,8531	0,8125
7:09:40	1,78125	23,625	22,8406	21,8438	0,784375
7:10:38	1,78438	23,6344	22,8719	21,85	0,7625
7:11:36	1,8	23,6313	22,875	21,8313	0,75625
7:12:33	1,8	23,6656	22,875	21,8656	0,790625
7:13:31	1,8125	23,6781	22,875	21,8656	0,803125
7:14:28	1,8125	23,6875	22,875	21,875	0,8125
7:15:26	1,80937	23,6875	22,8813	21,8781	0,80625
7:16:24	1,8125	23,6875	22,9187	21,875	0,76875
7:17:21	1,8125	23,6875	22,9375	21,875	0,75
7:18:19	1,8125	23,6938	22,9375	21,8813	0,75625
7:19:16	1,81563	23,7406	22,9375	21,925	0,803125
7:20:14	1,81563	23,75	22,9375	21,9344	0,8125
7:21:12	1,8125	23,75	22,9375	21,9375	0,8125
7:22:09	1,81563	23,75	22,95	21,9344	0,8
7:23:07	1,825	23,7594	22,9875	21,9344	0,771875
7:24:04	1,8375	23,7781	23	21,9406	0,778125
7:25:02	1,84375	23,8125	23	21,9688	0,8125
7:26:00	1,85312	23,8125	23	21,9594	0,8125
7:26:57	1,86563	23,8125	23	21,9469	0,8125
7:27:55	1,8625	23,8125	23	21,95	0,8125
7:28:52	1,86563	23,8125	23,0469	21,9469	0,765625
7:29:50	1,875	23,8156	23,0562	21,9406	0,759375
7:30:48	1,875	23,8531	23,0625	21,9781	0,790625
7:31:45	1,875	23,8719	23,0625	21,9969	0,809375
7:32:43	1,875	23,8719	23,0625	21,9969	0,809375
7:33:40	1,875	23,875	23,0625	22	0,8125
7:34:38	1,87813	23,875	23,0875	21,9969	0,7875
7:35:36	1,87813	23,8813	23,1187	22,0031	0,7625
7:36:33	1,8875	23,9281	23,125	22,0406	0,803125
7:37:31	1,88437	23,9375	23,125	22,0531	0,8125
7:38:28	1,8875	23,9375	23,125	22,05	0,8125
7:39:26	1,90312	23,9375	23,125	22,0344	0,8125
7:40:24	1,9	23,9375	23,1438	22,0375	0,79375
7:41:21	1,91875	23,95	23,1812	22,0312	0,76875
7:42:19	1,925	24	23,1875	22,075	0,8125
7:43:16	1,93125	23,9969	23,1875	22,0656	0,809375
7:44:14	1,9375	24	23,1875	22,0625	0,8125
7:45:12	1,93125	24	23,1875	22,0688	0,8125
7:46:09	1,9375	24	23,2219	22,0625	0,778125
7:47:07	1,9375	24,0188	23,2469	22,0813	0,771875
7:48:04	1,9375	24,05	23,25	22,1125	0,8
7:49:02	1,9375	24,0625	23,25	22,125	0,8125
7:50:00	1,9375	24,0625	23,25	22,125	0,8125
7:50:57	1,94375	24,0656	23,2531	22,1219	0,8125
7:51:55	1,95312	24,0813	23,2937	22,1281	0,7875
7:52:52	1,95625	24,1062	23,3125	22,15	0,79375
7:53:50	1,95938	24,125	23,3125	22,1656	0,8125
7:54:48	1,975	24,125	23,3125	22,15	0,8125
7:55:45	1,99063	24,125	23,3125	22,1344	0,8125
7:56:43	1,99063	24,1281	23,3344	22,1375	0,79375
7:57:40	2	24,15	23,3719	22,15	0,778125
7:58:38	2	24,1875	23,375	22,1875	0,8125
7:59:36	1,99687	24,1875	23,375	22,1906	0,8125
8:00:33	2,00312	24,1875	23,375	22,1844	0,8125
8:01:31	2	24,2188	23,3813	22,2188	0,8375
8:02:28	2	24,2125	23,4125	22,2125	0,8
8:03:26	2,00312	24,25	23,4375	22,2469	0,8125
8:04:24	2	24,25	23,4375	22,25	0,8125
8:05:21	2,00625	24,2531	23,4375	22,2469	0,815625
8:06:19	2,025	24,2969	23,4375	22,2719	0,859375
8:07:16	2,025	24,3094	23,4688	22,2844	0,840625
8:08:14	2,03437	24,3125	23,5	22,2781	0,8125
8:09:12	2,0375	24,3125	23,5	22,275	0,8125
8:10:09	2,05	24,3375	23,5	22,2875	0,8375
8:11:07	2,05625	24,375	23,5031	22,3188	0,871875
8:12:04	2,05938	24,375	23,5156	22,3156	0,859375
8:13:02	2,05938	24,375	23,5562	22,3156	0,81875
8:14:00	2,05938	24,3813	23,5625	22,3219	0,81875
8:14:57	2,0625	24,4344	23,5625	22,3719	0,871875
8:15:55	2,0625	24,4375	23,5656	22,375	0,871875
8:16:52	2,0625	24,4375	23,5875	22,375	0,85
8:17:50	2,0625	24,4375	23,625	22,375	0,8125
8:18:48	2,06875	24,4594	23,625	22,3906	0,834375
8:19:45	2,0875	24,4969	23,625	22,4094	0,871875
8:20:43	2,07187	24,5	23,6281	22,4281	0,871875
8:21:40	2,09687	24,5	23,6719	22,4031	0,828125
8:22:38	2,10312	24,5094	23,6875	22,4062	0,821875
8:23:36	2,11563	24,5625	23,6875	22,4469	0,875
8:24:33	2,11875	24,5625	23,6875	22,4438	0,875
8:25:31	2,125	24,5625	23,7031	22,4375	0,859375
8:26:28	2,125	24,5625	23,7406	22,4375	0,821875
8:27:26	2,125	24,5625	23,75	22,4375	0,8125
8:28:24	2,125	24,6031	23,75	22,4781	0,853125
8:29:21	2,125	24,625	23,7531	22,5	0,871875
8:30:19	2,13437	24,625	23,7688	22,4906	0,85625
8:31:16	2,12812	24,6344	23,8	22,5062	0,834375
8:32:14	2,13125	24,6687	23,8125	22,5375	0,85625
8:33:12	2,13437	24,6562	23,8125	22,5219	0,84375
8:34:09	2,15313	24,6875	23,8125	22,5344	0,875
8:35:07	2,17188	24,6875	23,8406	22,5156	0,846875
8:36:04	2,18125	24,6875	23,875	22,5063	0,8125
8:37:02	2,18125	24,6875	23,875	22,5063	0,8125
8:38:00	2,18438	24,7094	23,875	22,525	0,834375
8:38:57	2,1875	24,7469	23,8781	22,5594	0,86875
8:39:58	2,1875	24,75	23,9187	22,5625	0,83125
8:40:55	2,19062	24,7531	23,9375	22,5625	0,815625
8:41:53	2,1875	24,7875	23,9375	22,6	0,85
8:42:51	2,19375	24,8125	23,9375	22,6187	0,875
8:43:48	2,19375	24,8125	23,9563	22,6187	0,85625
8:44:46	2,19375	24,8125	24	22,6187	0,8125
8:45:46	2,21563	24,8313	24	22,6156	0,83125
8:46:44	2,225	24,875	24	22,65	0,875
8:47:44	2,23438	24,875	24,0031	22,6406	0,871875
8:48:42	2,2375	24,875	24,0531	22,6375	0,821875
8:49:39	2,25	24,875	24,0625	22,625	0,8125
8:50:37	2,24375	24,9281	24,0625	22,6844	0,865625
8:51:35	2,25	24,9094	24,0625	22,6594	0,846875
8:52:32	2,25	24,9375	24,1	22,6875	0,8375
8:53:30	2,25	24,9375	24,1219	22,6875	0,815625
8:54:27	2,25625	24,9594	24,125	22,7031	0,834375
8:55:25	2,2625	24,9844	24,125	22,7219	0,859375
8:56:23	2,2625	25	24,1281	22,7375	0,871875
8:57:20	2,26875	25	24,1781	22,7312	0,821875
8:58:18	2,28125	25	24,1875	22,7188	0,8125
8:59:15	2,28125	25,0437	24,1875	22,7625	0,85625
9:00:13	2,3	25,0625	24,1875	22,7625	0,875
9:01:11	2,30625	25,0625	24,2219	22,7563	0,840625
9:02:08	2,30938	25,0813	24,25	22,7719	0,83125
9:03:06	2,3125	25,125	24,25	22,8125	0,875
9:04:03	2,3125	25,125	24,25	22,8125	0,875
9:05:01	2,3125	25,125	24,2531	22,8125	0,871875
9:05:59	2,3125	25,1375	24,2906	22,825	0,846875
9:06:56	2,31562	25,1594	24,3062	22,8438	0,853125
